Meal Choice,Meal Cost,Tourist_Country,Cities,is_canceled,lead_time,arrival_date_year,arrival_date_month,Quarters ,stays_in_weekend_nights,stays_in_week_nights,Total_Stay_Days,Adults,Children,Market_segment,Distribution_channel,Room Class,Room Cost ,Total Room Cost ,Deposit_type,days_in_waiting_list,customer_type,Reservation_status,Overall Cost,
Half Meal,150, China  , Chennai,0,99,2025,March,0,2,5,7,2,0,Online TA,TA/TO,D,700,4900,Non Refundable,2,Transient,Canceled,5050,
Self Catering,200,Europe, Kochi,0,118,2022,December,0,4,10,14,1,0,Direct,Direct,E,600,8400,Advance,4,Transient,Canceled,8600,
No Meal,0, Spain  , Kochi,0,95,2022,December,1,4,11,15,2,0,Offline TA/TO,TA/TO,E,600,9000,Non Refundable,2,Transient,Canceled,9000,
No Meal,0, Portugal  , Delhi,1,96,2024,January,0,2,8,10,2,0,Direct,Direct,C,800,8000,Refundable,1,Transient,Canceled,8000,
Half Meal,150, Spain  , Kolkata,0,69,2020,May,0,2,4,6,2,0,Offline TA/TO,TA/TO,B,900,5400,Refundable,1,Transient,No-Show,5550,
Bed & Breakfast,100, Italy  , Hyderabad,1,45,2024,August,0,1,3,4,3,0,Online TA,TA/TO,B,900,3600,No Deposit ,1,Transient,Check-Out,3700,
Self Catering,200, Spain  , Mumbai,1,40,2020,April,1,1,3,4,3,0,Online TA,TA/TO,A,1000,4000,Non Refundable,2,Transient,Canceled,4200,
No Meal,0, Portugal  , Mumbai,0,15,2024,February,1,1,3,4,2,0,Online TA,TA/TO,F,500,2000,Refundable,1,Transient,No-Show,2000,
No Meal,0, Portugal  , Chennai,0,36,2022,February,1,1,3,4,3,0,Online TA,TA/TO,A,1000,4000,Advance,2,Transient,Canceled,4000,
No Meal,0, Nepal  , Jaipur,1,43,2020,January,1,1,3,4,3,0,Online TA,TA/TO,D,700,2800,Advance,4,Transient,Canceled,2800,
No Meal,0, Iran  , Bangalore,0,70,2024,January,1,2,3,5,2,0,Direct,Direct,C,800,4000,Advance,4,Transient,Check-Out,4000,
Bed & Breakfast,100,USA  , Jaipur,1,45,2022,February,0,2,3,5,2,0,Online TA,TA/TO,D,700,3500,Refundable,4,Transient,Canceled,3600,
Bed & Breakfast,100, Spain  , Pune,0,45,2022,January,1,2,3,5,2,0,Offline TA/TO,TA/TO,E,600,3000,Non Refundable,2,Contract,Canceled,3100,
Self Catering,200,USA  , Kochi,0,16,2024,May,0,2,3,5,2,0,Direct,Direct,A,1000,5000,Advance,2,Transient,Check-Out,5200,
Full Meal,300,USA  , Chandigarh,0,70,2021,November,0,2,3,5,2,0,Direct,Direct,E,600,3000,Advance,2,Transient,No-Show,3300,
No Meal,0, Portugal  , Pune,0,107,2024,June,0,2,5,7,2,0,Online TA,TA/TO,E,600,4200,Advance,1,Transient,Check-Out,4200,
Bed & Breakfast,100, Norway  , Delhi,1,47,2020,July,0,2,5,7,2,2,Online TA,TA/TO,D,700,4900,No Deposit ,3,Transient,Check-Out,5000,
Half Meal,150, Portugal  , Kolkata,0,96,2022,August,0,2,5,7,2,0,Offline TA/TO,TA/TO,D,700,4900,No Deposit ,2,Transient,Check-Out,5050,
No Meal,0, Italy  , Bhopal,0,113,2025,February,0,2,5,7,2,0,Offline TA/TO,TA/TO,C,800,5600,Refundable,4,Transient-Party,Check-Out,5600,
No Meal,0,Europe, Mumbai,0,90,2023,April,1,2,5,7,2,0,Offline TA/TO,TA/TO,A,1000,7000,No Deposit ,3,Contract,Check-Out,7000,
No Meal,0, Nepal  , Goa,0,50,2024,December,1,2,5,7,2,0,Online TA,TA/TO,E,600,4200,Non Refundable,3,Transient,No-Show,4200,
Full Meal,300, Nepal  , Mumbai,0,113,2023,March,1,2,5,7,2,0,Offline TA/TO,TA/TO,E,600,4200,No Deposit ,1,Transient-Party,Check-Out,4500,
Full Meal,300, Italy  , Ahmedabad,0,93,2020,January,1,3,8,11,2,0,Offline TA/TO,TA/TO,A,1000,11000,Non Refundable,4,Contract,No-Show,11300,
Self Catering,200, Spain  , Lucknow,0,76,2020,July,0,4,10,14,2,0,Offline TA/TO,TA/TO,F,500,7000,Refundable,3,Contract,Check-Out,7200,
Self Catering,200,Europe, Pune,0,3,2025,August,1,0,1,1,2,0,Online TA,TA/TO,E,600,600,Non Refundable,2,Transient,No-Show,800,
Half Meal,150,Europe, Bhopal,0,1,2020,November,0,0,1,1,2,0,Online TA,TA/TO,F,500,500,Refundable,1,Transient,Canceled,650,
Self Catering,200, China  , Bangalore,0,1,2021,January,1,0,1,1,2,2,Direct,Direct,C,800,800,Non Refundable,1,Transient,No-Show,1000,
No Meal,0,USA  , Bangalore,0,0,2025,July,1,0,1,1,2,0,Direct,Direct,A,1000,1000,No Deposit ,2,Transient,Canceled,1000,
Full Meal,300, Spain  , Delhi,0,0,2025,October,0,0,1,1,2,0,Online TA,TA/TO,A,1000,1000,Refundable,1,Transient,Check-Out,1300,
Bed & Breakfast,100, China  , Mumbai,0,0,2021,November,1,0,1,1,2,0,Direct,Direct,D,700,700,Advance,1,Transient,Canceled,800,
Self Catering,200, Portugal  , Chennai,0,14,2024,May,0,0,2,2,2,0,Online TA,TA/TO,B,900,1800,Refundable,3,Transient,No-Show,2000,
Self Catering,200, Portugal  , Delhi,0,10,2023,August,0,0,2,2,2,0,Online TA,TA/TO,D,700,1400,Advance,1,Transient,Canceled,1600,
Bed & Breakfast,100, Iran  , Jaipur,0,5,2025,May,1,0,2,2,2,0,Online TA,TA/TO,C,800,1600,Advance,3,Transient,Check-Out,1700,
No Meal,0, Italy  , Delhi,0,17,2025,May,0,0,3,3,2,0,Direct,Direct,F,500,1500,Refundable,1,Transient,No-Show,1500,
Full Meal,300, Nepal  , Kochi,0,93,2021,July,0,0,3,3,2,0,Offline TA/TO,TA/TO,E,600,1800,Refundable,4,Contract,No-Show,2100,
Half Meal,150, Norway  , Kochi,1,3,2022,July,1,0,3,3,2,0,Online TA,TA/TO,F,500,1500,Refundable,1,Transient,Canceled,1650,
Bed & Breakfast,100, Portugal  , Chandigarh,0,10,2024,November,1,0,2,2,2,2,Online TA,TA/TO,B,900,1800,Non Refundable,1,Transient,No-Show,1900,
Bed & Breakfast,100, Spain  , Lucknow,0,3,2020,January,0,0,2,2,2,0,Online TA,TA/TO,D,700,1400,Refundable,1,Transient,No-Show,1500,
Full Meal,300,Europe, Kochi,0,51,2020,June,0,0,2,2,2,0,Online TA,TA/TO,A,1000,2000,Refundable,3,Transient,Check-Out,2300,
Self Catering,200, Norway  , Chandigarh,1,71,2025,August,1,0,2,2,3,0,Offline TA/TO,TA/TO,F,500,1000,No Deposit ,4,Transient,No-Show,1200,
Full Meal,300, Norway  , Kolkata,1,63,2020,February,0,0,2,2,2,0,Online TA,TA/TO,C,800,1600,Advance,2,Transient,No-Show,1900,
No Meal,0, Spain  , Kolkata,1,62,2021,September,0,0,2,2,2,0,Online TA,TA/TO,A,1000,2000,Refundable,2,Transient,Check-Out,2000,
Bed & Breakfast,100, China  , Jaipur,1,101,2025,August,1,0,2,2,2,0,Online TA,TA/TO,A,1000,2000,Refundable,4,Transient,Canceled,2100,
Self Catering,200, Iran  , Jaipur,0,2,2021,October,1,0,2,2,2,0,Offline TA/TO,TA/TO,A,1000,2000,Non Refundable,1,Transient,Canceled,2200,
Half Meal,150, Spain  , Ahmedabad,0,15,2021,December,1,0,2,2,2,0,Online TA,TA/TO,B,900,1800,Advance,1,Transient,Canceled,1950,
Bed & Breakfast,100,Europe, Lucknow,1,51,2024,February,0,0,2,2,3,0,Online TA,TA/TO,E,600,1200,Refundable,2,Transient,Canceled,1300,
Half Meal,150,USA  , Lucknow,0,3,2022,August,0,1,2,3,2,0,Online TA,TA/TO,F,500,1500,Non Refundable,4,Transient,Canceled,1650,
Half Meal,150,USA  , Kochi,1,48,2021,January,0,1,2,3,2,0,Online TA,TA/TO,E,600,1800,Refundable,3,Transient,Canceled,1950,
Full Meal,300,Europe, Mumbai,0,2,2023,July,0,2,2,4,1,0,Online TA,TA/TO,F,500,2000,No Deposit ,4,Transient,No-Show,2300,
Half Meal,150, Nepal  , Chennai,0,72,2021,January,1,2,2,4,2,0,Offline TA/TO,TA/TO,A,1000,4000,No Deposit ,2,Transient,Canceled,4150,
Full Meal,300, Italy  , Bhopal,0,81,2022,May,1,2,6,8,3,0,Offline TA/TO,TA/TO,A,1000,8000,Non Refundable,4,Transient,Check-Out,8300,
Full Meal,300, Nepal  , Kolkata,0,99,2022,August,0,2,7,9,2,0,Offline TA/TO,TA/TO,D,700,6300,No Deposit ,2,Contract,Check-Out,6600,
Half Meal,150, China  , Jaipur,1,368,2025,December,1,3,7,10,2,0,Offline TA/TO,TA/TO,B,900,9000,Refundable,1,Contract,Canceled,9150,
Self Catering,200, Nepal  , Pune,0,364,2023,November,0,3,7,10,2,0,Offline TA/TO,TA/TO,E,600,6000,Non Refundable,1,Contract,Check-Out,6200,
Bed & Breakfast,100, Portugal  , Jaipur,1,81,2023,May,1,3,7,10,2,0,Direct,Direct,B,900,9000,No Deposit ,4,Transient,Canceled,9100,
No Meal,0, Nepal  , Pune,0,99,2021,October,1,3,7,10,2,0,Offline TA/TO,TA/TO,F,500,5000,Non Refundable,2,Contract,Canceled,5000,
Half Meal,150,USA  , Jaipur,0,324,2024,March,1,4,10,14,2,0,Offline TA/TO,TA/TO,D,700,9800,Refundable,2,Contract,No-Show,9950,
Self Catering,200,USA  , Bhopal,0,69,2025,November,1,4,10,14,2,0,Online TA,TA/TO,E,600,8400,Advance,3,Transient,Canceled,8600,
Bed & Breakfast,100, Spain  , Chandigarh,1,79,2022,February,1,6,15,21,2,1,Offline TA/TO,TA/TO,E,600,12600,Refundable,1,Transient,Canceled,12700,
Half Meal,150, Spain  , Chennai,0,12,2020,June,0,0,1,1,2,0,Online TA,TA/TO,A,1000,1000,Refundable,3,Transient,No-Show,1150,
Full Meal,300, Spain  , Delhi,0,9,2020,September,1,0,1,1,2,0,Online TA,TA/TO,D,700,700,Refundable,1,Transient,Canceled,1000,
Bed & Breakfast,100, Portugal  , Chennai,0,1,2023,September,0,0,1,1,2,0,Online TA,TA/TO,D,700,700,Non Refundable,1,Transient,No-Show,800,
No Meal,0,Europe, Ahmedabad,0,21,2024,May,0,0,1,1,2,0,Online TA,TA/TO,D,700,700,Non Refundable,3,Transient,Canceled,700,
Bed & Breakfast,100, Spain  , Delhi,0,9,2021,September,1,0,1,1,2,0,Online TA,TA/TO,D,700,700,No Deposit ,3,Transient,Canceled,800,
No Meal,0,USA  , Hyderabad,0,109,2020,August,1,0,1,1,2,0,Online TA,TA/TO,F,500,500,Non Refundable,1,Transient,No-Show,500,
Self Catering,200,Europe, Bangalore,1,109,2023,September,0,0,2,2,2,0,Online TA,TA/TO,E,600,1200,Advance,3,Transient,Check-Out,1400,
No Meal,0, Nepal  , Bhopal,1,72,2024,March,1,0,2,2,2,0,Online TA,TA/TO,F,500,1000,Advance,4,Transient,Check-Out,1000,
Self Catering,200, Spain  , Hyderabad,1,63,2022,September,1,2,5,7,2,0,Online TA,TA/TO,F,500,3500,Advance,4,Transient,No-Show,3700,
Half Meal,150,Europe, Hyderabad,0,63,2022,November,1,2,5,7,3,0,Offline TA/TO,TA/TO,A,1000,7000,No Deposit ,3,Transient,Check-Out,7150,
No Meal,0, Norway  , Lucknow,0,101,2022,January,1,2,5,7,2,1,Online TA,TA/TO,A,1000,7000,Non Refundable,3,Transient,Check-Out,7000,
Full Meal,300, Norway  , Mumbai,0,102,2024,January,0,2,5,7,2,0,Direct,Direct,A,1000,7000,Advance,1,Transient,Canceled,7300,
Full Meal,300, Portugal  , Chandigarh,0,4,2021,August,0,2,1,3,2,0,Direct,Direct,E,600,1800,Advance,4,Transient,No-Show,2100,
Full Meal,300, Italy  , Lucknow,0,98,2025,April,1,2,1,3,2,0,Offline TA/TO,TA/TO,F,500,1500,Non Refundable,3,Transient,Canceled,1800,
Self Catering,200, Portugal  , Ahmedabad,0,92,2020,May,0,2,4,6,1,2,Offline TA/TO,TA/TO,A,1000,6000,No Deposit ,1,Transient,Check-Out,6200,
Half Meal,150, Norway  , Indore,0,95,2020,September,0,2,4,6,2,0,Online TA,TA/TO,B,900,5400,Advance,2,Transient,No-Show,5550,
Half Meal,150, China  , Kochi,0,102,2022,September,1,2,5,7,2,0,Online TA,TA/TO,D,700,4900,Advance,2,Transient,Canceled,5050,
Half Meal,150, China  , Jaipur,1,26,2024,February,1,2,5,7,2,2,Online TA,TA/TO,D,700,4900,No Deposit ,4,Transient,Check-Out,5050,
Half Meal,150,Europe, Lucknow,1,73,2024,December,1,2,5,7,3,0,Direct,Direct,D,700,4900,No Deposit ,4,Transient,Canceled,5050,
Half Meal,150, China  , Goa,1,102,2020,April,0,2,5,7,2,0,Online TA,TA/TO,C,800,5600,Non Refundable,4,Transient,Canceled,5750,
No Meal,0, China  , Hyderabad,0,115,2020,June,0,2,5,7,2,0,Offline TA/TO,TA/TO,A,1000,7000,Refundable,2,Transient,No-Show,7000,
No Meal,0, Nepal  , Chennai,0,102,2024,December,1,2,5,7,2,0,Online TA,TA/TO,C,800,5600,Advance,4,Transient,No-Show,5600,
Self Catering,200, Norway  , Bangalore,0,86,2021,June,1,2,5,7,2,0,Online TA,TA/TO,A,1000,7000,Refundable,2,Transient,Canceled,7200,
Full Meal,300, Portugal  , Kochi,0,78,2025,November,0,2,5,7,2,0,Online TA,TA/TO,F,500,3500,Non Refundable,1,Transient,No-Show,3800,
Half Meal,150, China  , Chandigarh,0,52,2022,May,1,2,5,7,2,0,Online TA,TA/TO,A,1000,7000,Non Refundable,1,Transient,No-Show,7150,
Self Catering,200, Portugal  , Goa,0,29,2025,May,0,2,6,8,3,0,Online TA,TA/TO,A,1000,8000,Refundable,1,Transient,No-Show,8200,
Bed & Breakfast,100, China  , Delhi,1,101,2021,April,0,2,6,8,2,0,Online TA,TA/TO,C,800,6400,Advance,2,Transient,No-Show,6500,
No Meal,0, Spain  , Delhi,0,109,2020,January,1,2,6,8,2,0,Online TA,TA/TO,B,900,7200,Advance,4,Transient,No-Show,7200,
Half Meal,150, Norway  , Delhi,0,92,2023,May,1,4,6,10,2,0,Offline TA/TO,TA/TO,C,800,8000,Advance,3,Contract,Canceled,8150,
Full Meal,300, Norway  , Mumbai,0,92,2023,September,0,4,6,10,2,0,Offline TA/TO,TA/TO,C,800,8000,Advance,3,Contract,No-Show,8300,
Full Meal,300,Europe, Bangalore,0,79,2023,January,1,4,6,10,2,1,Direct,Direct,E,600,6000,Advance,1,Transient,Check-Out,6300,
Self Catering,200, China  , Ahmedabad,0,2,2023,October,0,0,1,1,2,2,Online TA,TA/TO,B,900,900,Non Refundable,3,Transient,No-Show,1100,
Self Catering,200, Nepal  , Bangalore,0,30,2022,January,0,0,1,1,2,0,Offline TA/TO,TA/TO,E,600,600,Advance,2,Contract,Canceled,800,
Bed & Breakfast,100, Iran  , Chennai,1,51,2020,December,1,0,1,1,1,0,Online TA,TA/TO,F,500,500,No Deposit ,3,Transient,Check-Out,600,
No Meal,0, Norway  , Bangalore,1,36,2023,November,0,0,1,1,1,0,Direct,Direct,D,700,700,No Deposit ,1,Transient,Canceled,700,
Full Meal,300, Spain  , Ahmedabad,1,73,2022,June,0,0,1,1,2,0,Online TA,TA/TO,D,700,700,Non Refundable,1,Transient,Canceled,1000,
No Meal,0,Europe, Bhopal,1,33,2021,July,1,0,1,1,2,0,Online TA,TA/TO,F,500,500,Refundable,2,Transient,No-Show,500,
Full Meal,300,USA  , Delhi,0,32,2023,May,1,0,1,1,4,0,Complementary,Direct,F,500,500,Non Refundable,4,Transient,No-Show,800,
Self Catering,200,Europe, Jaipur,0,8,2022,January,0,0,1,1,2,0,Online TA,TA/TO,F,500,500,Refundable,1,Transient,No-Show,700,
Full Meal,300, Iran  , Goa,0,100,2024,July,1,1,1,2,2,0,Online TA,TA/TO,F,500,1000,Non Refundable,2,Transient-Party,Canceled,1300,
Bed & Breakfast,100, Iran  , Pune,0,1,2025,October,0,1,1,2,2,0,Online TA,TA/TO,C,800,1600,Non Refundable,4,Transient,Canceled,1700,
Half Meal,150, Spain  , Bhopal,0,100,2021,July,1,1,1,2,2,0,Online TA,TA/TO,E,600,1200,Advance,4,Transient-Party,Check-Out,1350,
Full Meal,300, Italy  , Chandigarh,0,100,2025,August,1,1,1,2,2,0,Online TA,TA/TO,A,1000,2000,Advance,4,Transient-Party,Check-Out,2300,
Full Meal,300,USA  , Pune,0,9,2024,October,1,1,0,1,2,0,Online TA,TA/TO,B,900,900,No Deposit ,1,Transient,Canceled,1200,
Self Catering,200,USA  , Mumbai,1,5,2020,December,1,1,0,1,2,0,Online TA,TA/TO,B,900,900,Advance,4,Transient,Canceled,1100,
Bed & Breakfast,100, Italy  , Goa,0,0,2023,May,0,1,0,1,2,0,Online TA,TA/TO,D,700,700,Non Refundable,2,Transient,No-Show,800,
Bed & Breakfast,100, Norway  , Lucknow,0,9,2024,July,1,1,0,1,1,0,Online TA,TA/TO,D,700,700,Non Refundable,2,Transient,Canceled,800,
Bed & Breakfast,100, Norway  , Goa,0,2,2025,October,0,1,0,1,1,0,Online TA,TA/TO,D,700,700,No Deposit ,3,Transient,No-Show,800,
Self Catering,200, Italy  , Delhi,0,2,2023,March,1,1,0,1,2,0,Online TA,TA/TO,E,600,600,Advance,3,Transient,Canceled,800,
No Meal,0,USA  , Pune,0,9,2021,June,0,1,0,1,1,0,Online TA,TA/TO,A,1000,1000,Refundable,2,Transient,Canceled,1000,
No Meal,0, Italy  , Goa,1,5,2024,June,1,1,0,1,2,0,Online TA,TA/TO,D,700,700,Non Refundable,3,Transient,Check-Out,700,
Self Catering,200, Norway  , Chandigarh,0,2,2024,May,1,1,0,1,2,0,Direct,Direct,A,1000,1000,Advance,3,Transient,Canceled,1200,
Full Meal,300, Nepal  , Indore,0,44,2025,May,1,2,0,2,3,0,Online TA,TA/TO,C,800,1600,Non Refundable,3,Transient,Canceled,1900,
Self Catering,200,Europe, Goa,0,80,2022,June,1,2,0,2,2,0,Online TA,TA/TO,A,1000,2000,Non Refundable,3,Transient,No-Show,2200,
Half Meal,150, Italy  , Bangalore,0,97,2024,January,1,2,2,4,2,0,Online TA,TA/TO,B,900,3600,Non Refundable,2,Transient,No-Show,3750,
Full Meal,300, Iran  , Chandigarh,0,109,2023,November,0,2,3,5,2,1,Offline TA/TO,TA/TO,F,500,2500,Refundable,4,Transient,Check-Out,2800,
Self Catering,200,Europe, Bhopal,0,30,2023,September,1,2,3,5,2,0,Online TA,TA/TO,F,500,2500,Advance,4,Transient,Canceled,2700,
Half Meal,150, Spain  , Pune,0,64,2024,December,1,2,3,5,2,0,Online TA,TA/TO,A,1000,5000,Refundable,3,Transient,No-Show,5150,
Bed & Breakfast,100,USA  , Hyderabad,0,39,2022,December,0,2,4,6,2,0,Online TA,TA/TO,A,1000,6000,Refundable,2,Transient,Canceled,6100,
Half Meal,150, China  , Mumbai,0,90,2025,September,1,2,4,6,2,0,Online TA,TA/TO,F,500,3000,No Deposit ,2,Transient,No-Show,3150,
Self Catering,200, Iran  , Hyderabad,1,34,2025,December,0,2,4,6,2,2,Online TA,TA/TO,F,500,3000,Advance,1,Transient,Check-Out,3200,
No Meal,0, Portugal  , Ahmedabad,1,93,2023,February,1,2,5,7,2,0,Offline TA/TO,TA/TO,A,1000,7000,No Deposit ,2,Transient,No-Show,7000,
Half Meal,150,Europe, Chandigarh,0,97,2024,February,0,2,5,7,2,2,Direct,Direct,D,700,4900,No Deposit ,2,Transient,No-Show,5050,
No Meal,0, Nepal  , Chennai,0,29,2021,August,0,2,5,7,2,0,Online TA,TA/TO,C,800,5600,Non Refundable,2,Transient,No-Show,5600,
Half Meal,150, Nepal  , Pune,1,101,2024,November,0,2,5,7,2,0,Online TA,TA/TO,E,600,4200,Advance,2,Transient,No-Show,4350,
No Meal,0, Iran  , Bangalore,0,27,2025,December,1,2,5,7,2,0,Offline TA/TO,TA/TO,B,900,6300,Advance,2,Transient,Canceled,6300,
No Meal,0, Iran  , Delhi,0,8,2021,August,1,4,5,9,2,2,Online TA,TA/TO,D,700,6300,No Deposit ,2,Transient,Check-Out,6300,
Self Catering,200, China  , Kochi,0,82,2022,July,1,4,6,10,2,0,Offline TA/TO,TA/TO,B,900,9000,No Deposit ,4,Transient,No-Show,9200,
Full Meal,300, Norway  , Delhi,0,94,2023,January,1,4,6,10,3,0,Direct,Direct,A,1000,10000,No Deposit ,4,Transient,Check-Out,10300,
Half Meal,150, Spain  , Lucknow,0,110,2021,February,0,4,7,11,2,0,Offline TA/TO,TA/TO,A,1000,11000,Refundable,4,Contract,Canceled,11150,
Self Catering,200, Iran  , Kochi,0,96,2021,January,0,4,10,14,1,0,Offline TA/TO,TA/TO,C,800,11200,Non Refundable,2,Contract,Check-Out,11400,
Self Catering,200, Italy  , Chennai,0,79,2020,December,0,4,10,14,2,0,Offline TA/TO,TA/TO,E,600,8400,Advance,4,Contract,No-Show,8600,
Full Meal,300, Italy  , Indore,0,115,2023,April,0,1,4,5,2,2,Online TA,TA/TO,A,1000,5000,Refundable,3,Transient,No-Show,5300,
Full Meal,300, China  , Bangalore,0,111,2020,July,0,1,3,4,2,0,Online TA,TA/TO,A,1000,4000,Advance,4,Transient,Canceled,4300,
No Meal,0,USA  , Mumbai,0,51,2025,April,1,1,3,4,2,0,Online TA,TA/TO,E,600,2400,Non Refundable,4,Transient,Check-Out,2400,
No Meal,0, Italy  , Kochi,0,94,2025,January,0,1,3,4,3,0,Offline TA/TO,TA/TO,F,500,2000,No Deposit ,1,Transient,No-Show,2000,
No Meal,0, Nepal  , Hyderabad,0,81,2024,February,1,1,3,4,2,2,Direct,Direct,E,600,2400,Refundable,4,Transient,No-Show,2400,
Full Meal,300, Portugal  , Kolkata,0,84,2024,July,1,1,3,4,2,0,Online TA,TA/TO,E,600,2400,No Deposit ,4,Transient,Canceled,2700,
Self Catering,200, Iran  , Jaipur,0,51,2024,April,0,1,3,4,3,0,Online TA,TA/TO,D,700,2800,Non Refundable,2,Transient,Canceled,3000,
Full Meal,300, Italy  , Kochi,0,111,2021,October,1,0,0,0,2,0,Online TA,TA/TO,C,800,0,Non Refundable,2,Transient,Check-Out,300,
Full Meal,300, Portugal  , Goa,0,0,2025,October,0,0,0,0,1,0,Direct,Direct,C,800,0,Non Refundable,2,Transient,Canceled,300,
Full Meal,300, Italy  , Kochi,0,2,2022,October,0,1,0,1,2,1,Direct,Direct,B,900,900,No Deposit ,4,Transient,Check-Out,1200,
Self Catering,200, Spain  , Chandigarh,0,7,2020,December,1,1,1,2,2,0,Online TA,TA/TO,D,700,1400,Non Refundable,2,Transient,Canceled,1600,
